method,pi,sep,rep,k_hat
gap,0.02,3.0,0,1
gap,0.02,3.0,1,2
gap,0.02,3.0,2,1
gap,0.02,3.0,3,1
gap,0.02,3.0,4,2
gap,0.02,3.0,5,4
gap,0.02,3.0,6,1
gap,0.02,3.0,7,1
gap,0.02,3.0,8,1
gap,0.02,3.0,9,2
gap,0.02,3.0,10,2
gap,0.02,3.0,11,1
gap,0.02,3.0,12,1
gap,0.02,3.0,13,1
gap,0.02,3.0,14,1
gap,0.02,4.0,0,1
gap,0.02,4.0,1,2
gap,0.02,4.0,2,1
gap,0.02,4.0,3,2
gap,0.02,4.0,4,3
gap,0.02,4.0,5,2
gap,0.02,4.0,6,1
gap,0.02,4.0,7,4
gap,0.02,4.0,8,2
gap,0.02,4.0,9,1
gap,0.02,4.0,10,3
gap,0.02,4.0,11,1
gap,0.02,4.0,12,1
gap,0.02,4.0,13,1
gap,0.02,4.0,14,1
gap,0.05,3.0,0,2
gap,0.05,3.0,1,2
gap,0.05,3.0,2,4
gap,0.05,3.0,3,2
gap,0.05,3.0,4,2
gap,0.05,3.0,5,1
gap,0.05,3.0,6,2
gap,0.05,3.0,7,3
gap,0.05,3.0,8,2
gap,0.05,3.0,9,2
gap,0.05,3.0,10,2
gap,0.05,3.0,11,5
gap,0.05,3.0,12,3
gap,0.05,3.0,13,1
gap,0.05,3.0,14,2
gap,0.05,4.0,0,2
gap,0.05,4.0,1,3
gap,0.05,4.0,2,2
gap,0.05,4.0,3,4
gap,0.05,4.0,4,2
gap,0.05,4.0,5,3
gap,0.05,4.0,6,2
gap,0.05,4.0,7,3
gap,0.05,4.0,8,2
gap,0.05,4.0,9,3
gap,0.05,4.0,10,1
gap,0.05,4.0,11,2
gap,0.05,4.0,12,1
gap,0.05,4.0,13,2
gap,0.05,4.0,14,3
gap,0.1,3.0,0,1
gap,0.1,3.0,1,2
gap,0.1,3.0,2,2
gap,0.1,3.0,3,2
gap,0.1,3.0,4,2
gap,0.1,3.0,5,2
gap,0.1,3.0,6,2
gap,0.1,3.0,7,4
gap,0.1,3.0,8,2
gap,0.1,3.0,9,2
gap,0.1,3.0,10,2
