dataset,window,dom_class,method,k_hat
IndianPines,IndianPines:15,10,ess_dip_local,1
IndianPines,IndianPines:6,8,classical_gap,7
IndianPines,IndianPines:6,8,silhouette,2
IndianPines,IndianPines:6,8,calinski_harabasz,5
IndianPines,IndianPines:6,8,davies_bouldin,5
IndianPines,IndianPines:6,8,decluster_dip,1
IndianPines,IndianPines:6,8,ess_dip,1
IndianPines,IndianPines:6,8,ess_dip_detrend,1
IndianPines,IndianPines:6,8,ess_dip_adaptive,1
IndianPines,IndianPines:6,8,ess_dip_local,1
Salinas,Salinas:0,15,classical_gap,2
Salinas,Salinas:0,15,silhouette,2
Salinas,Salinas:0,15,calinski_harabasz,2
Salinas,Salinas:0,15,davies_bouldin,3
Salinas,Salinas:0,15,decluster_dip,1
Salinas,Salinas:0,15,ess_dip,1
Salinas,Salinas:0,15,ess_dip_detrend,1
Salinas,Salinas:0,15,ess_dip_adaptive,1
Salinas,Salinas:0,15,ess_dip_local,1
IndianPines,IndianPines:9,11,classical_gap,2
IndianPines,IndianPines:9,11,silhouette,2
IndianPines,IndianPines:9,11,calinski_harabasz,2
IndianPines,IndianPines:9,11,davies_bouldin,2
IndianPines,IndianPines:9,11,decluster_dip,1
IndianPines,IndianPines:9,11,ess_dip,1
IndianPines,IndianPines:9,11,ess_dip_detrend,1
IndianPines,IndianPines:9,11,ess_dip_adaptive,1
IndianPines,IndianPines:9,11,ess_dip_local,1
IndianPines,IndianPines:14,11,classical_gap,4
IndianPines,IndianPines:14,11,silhouette,2
IndianPines,IndianPines:14,11,calinski_harabasz,2
IndianPines,IndianPines:14,11,davies_bouldin,2
IndianPines,IndianPines:14,11,decluster_dip,1
IndianPines,IndianPines:14,11,ess_dip,1
IndianPines,IndianPines:14,11,ess_dip_detrend,1
IndianPines,IndianPines:14,11,ess_dip_adaptive,1
IndianPines,IndianPines:14,11,ess_dip_local,1
IndianPines,IndianPines:16,11,classical_gap,1
IndianPines,IndianPines:16,11,silhouette,3
IndianPines,IndianPines:16,11,calinski_harabasz,3
IndianPines,IndianPines:16,11,davies_bouldin,3
IndianPines,IndianPines:16,11,decluster_dip,1
IndianPines,IndianPines:16,11,ess_dip,1
IndianPines,IndianPines:16,11,ess_dip_detrend,1
IndianPines,IndianPines:16,11,ess_dip_adaptive,1
IndianPines,IndianPines:16,11,ess_dip_local,1
Salinas,Salinas:1,15,classical_gap,1
Salinas,Salinas:1,15,silhouette,3
Salinas,Salinas:1,15,calinski_harabasz,2
Salinas,Salinas:1,15,davies_bouldin,4
Salinas,Salinas:1,15,decluster_dip,1
Salinas,Salinas:1,15,ess_dip,1
Salinas,Salinas:1,15,ess_dip_detrend,1
Salinas,Salinas:1,15,ess_dip_adaptive,1
Salinas,Salinas:1,15,ess_dip_local,1
Salinas,Salinas:6,15,classical_gap,1
Salinas,Salinas:6,15,silhouette,2
Salinas,Salinas:6,15,calinski_harabasz,2
Salinas,Salinas:6,15,davies_bouldin,4
Salinas,Salinas:6,15,decluster_dip,1
Salinas,Salinas:6,15,ess_dip,1
Salinas,Salinas:6,15,ess_dip_detrend,1
Salinas,Salinas:6,15,ess_dip_adaptive,1
Salinas,Salinas:6,15,ess_dip_local,1
IndianPines,IndianPines:8,11,classical_gap,1
IndianPines,IndianPines:8,11,silhouette,3
IndianPines,IndianPines:8,11,calinski_harabasz,4
IndianPines,IndianPines:8,11,davies_bouldin,4
IndianPines,IndianPines:8,11,decluster_dip,1
IndianPines,IndianPines:8,11,ess_dip,1
IndianPines,IndianPines:8,11,ess_dip_detrend,1
IndianPines,IndianPines:8,11,ess_dip_adaptive,1
IndianPines,IndianPines:8,11,ess_dip_local,1
Salinas,Salinas:2,7,classical_gap,4
Salinas,Salinas:2,7,silhouette,4
Salinas,Salinas:2,7,calinski_harabasz,4
Salinas,Salinas:2,7,davies_bouldin,2
Salinas,Salinas:2,7,decluster_dip,1
Salinas,Salinas:2,7,ess_dip,1
Salinas,Salinas:2,7,ess_dip_detrend,2
Salinas,Salinas:2,7,ess_dip_adaptive,1
Salinas,Salinas:2,7,ess_dip_local,1
Salinas,Salinas:4,15,classical_gap,1
Salinas,Salinas:4,15,silhouette,2
Salinas,Salinas:4,15,calinski_harabasz,2
Salinas,Salinas:4,15,davies_bouldin,2
Salinas,Salinas:4,15,decluster_dip,1
Salinas,Salinas:4,15,ess_dip,1
Salinas,Salinas:4,15,ess_dip_detrend,1
Salinas,Salinas:4,15,ess_dip_adaptive,1
Salinas,Salinas:4,15,ess_dip_local,1
Salinas,Salinas:7,6,classical_gap,5
Salinas,Salinas:7,6,silhouette,2
Salinas,Salinas:7,6,calinski_harabasz,2
Salinas,Salinas:7,6,davies_bouldin,2
Salinas,Salinas:7,6,decluster_dip,1
Salinas,Salinas:7,6,ess_dip,1
Salinas,Salinas:7,6,ess_dip_detrend,1
Salinas,Salinas:7,6,ess_dip_adaptive,1
Salinas,Salinas:7,6,ess_dip_local,1
Salinas,Salinas:3,15,classical_gap,1
Salinas,Salinas:3,15,silhouette,2
Salinas,Salinas:3,15,calinski_harabasz,3
Salinas,Salinas:3,15,davies_bouldin,3
Salinas,Salinas:3,15,decluster_dip,1
Salinas,Salinas:3,15,ess_dip,1
Salinas,Salinas:3,15,ess_dip_detrend,1
Salinas,Salinas:3,15,ess_dip_adaptive,1
Salinas,Salinas:3,15,ess_dip_local,1
Salinas,Salinas:5,15,classical_gap,1
Salinas,Salinas:5,15,silhouette,2
Salinas,Salinas:5,15,calinski_harabasz,2
Salinas,Salinas:5,15,davies_bouldin,4
Salinas,Salinas:5,15,decluster_dip,1
Salinas,Salinas:5,15,ess_dip,1
Salinas,Salinas:5,15,ess_dip_detrend,1
Salinas,Salinas:5,15,ess_dip_adaptive,1
Salinas,Salinas:5,15,ess_dip_local,1
Salinas,Salinas:8,7,classical_gap,4
Salinas,Salinas:8,7,silhouette,2
Salinas,Salinas:8,7,calinski_harabasz,2
Salinas,Salinas:8,7,davies_bouldin,2
Salinas,Salinas:8,7,decluster_dip,1
Salinas,Salinas:8,7,ess_dip,1
Salinas,Salinas:8,7,ess_dip_detrend,1
Salinas,Salinas:8,7,ess_dip_adaptive,1
Salinas,Salinas:8,7,ess_dip_local,1
Salinas,Salinas:10,15,classical_gap,1
Salinas,Salinas:10,15,silhouette,3
Salinas,Salinas:10,15,calinski_harabasz,3
Salinas,Salinas:10,15,davies_bouldin,3
Salinas,Salinas:10,15,decluster_dip,1
Salinas,Salinas:10,15,ess_dip,1
Salinas,Salinas:10,15,ess_dip_detrend,1
Salinas,Salinas:10,15,ess_dip_adaptive,1
Salinas,Salinas:10,15,ess_dip_local,1
Salinas,Salinas:15,15,classical_gap,1
Salinas,Salinas:15,15,silhouette,3
Salinas,Salinas:15,15,calinski_harabasz,3
Salinas,Salinas:15,15,davies_bouldin,8
Salinas,Salinas:15,15,decluster_dip,1
Salinas,Salinas:15,15,ess_dip,1
Salinas,Salinas:15,15,ess_dip_detrend,1
Salinas,Salinas:15,15,ess_dip_adaptive,1
Salinas,Salinas:15,15,ess_dip_local,1
Salinas,Salinas:18,15,classical_gap,1
Salinas,Salinas:18,15,silhouette,2
Salinas,Salinas:18,15,calinski_harabasz,4
Salinas,Salinas:18,15,davies_bouldin,7
