row,col,panel,label
2,87,truth,c0
2,88,truth,c0
2,89,truth,c0
2,90,truth,c0
2,91,truth,c0
2,92,truth,c0
2,93,truth,c0
2,94,truth,c0
2,95,truth,c0
3,0,truth,c0
3,1,truth,c0
3,2,truth,c0
3,3,truth,c0
3,4,truth,c0
3,5,truth,c0
3,6,truth,c0
3,7,truth,c0
3,8,truth,c0
3,9,truth,c0
3,10,truth,c0
3,11,truth,c0
3,12,truth,c0
3,13,truth,c0
3,14,truth,c0
3,15,truth,c0
3,16,truth,c0
3,17,truth,c0
3,18,truth,c0
3,19,truth,c0
3,20,truth,c0
3,21,truth,c1
3,22,truth,c1
3,23,truth,c1
3,24,truth,c1
3,25,truth,c1
3,26,truth,c1
3,27,truth,c1
3,28,truth,c1
3,29,truth,c1
3,30,truth,c2
3,31,truth,c2
3,32,truth,c2
3,33,truth,c2
3,34,truth,c2
3,35,truth,c2
3,36,truth,c2
3,37,truth,c2
3,38,truth,c2
3,39,truth,c1
3,40,truth,c1
3,41,truth,c1
3,42,truth,c1
3,43,truth,c1
3,44,truth,c1
3,45,truth,c1
3,46,truth,c0
3,47,truth,c0
3,48,truth,c0
3,49,truth,c0
3,50,truth,c0
3,51,truth,c0
3,52,truth,c0
3,53,truth,c0
3,54,truth,c0
3,55,truth,c0
3,56,truth,c0
3,57,truth,c0
3,58,truth,c0
3,59,truth,c0
3,60,truth,c0
3,61,truth,c1
3,62,truth,c1
3,63,truth,c1
3,64,truth,c1
3,65,truth,c1
3,66,truth,c1
3,67,truth,c1
3,68,truth,c1
3,69,truth,c1
3,70,truth,c1
3,71,truth,c1
3,72,truth,c1
3,73,truth,c1
3,74,truth,c1
3,75,truth,c1
3,76,truth,c1
3,77,truth,c1
3,78,truth,c1
3,79,truth,c1
3,80,truth,c1
3,81,truth,c1
3,82,truth,c1
3,83,truth,c0
3,84,truth,c0
3,85,truth,c0
3,86,truth,c0
3,87,truth,c0
3,88,truth,c0
3,89,truth,c0
3,90,truth,c0
3,91,truth,c0
3,92,truth,c0
3,93,truth,c0
3,94,truth,c0
3,95,truth,c0
4,0,truth,c0
4,1,truth,c0
4,2,truth,c0
4,3,truth,c0
4,4,truth,c0
4,5,truth,c0
4,6,truth,c0
4,7,truth,c0
4,8,truth,c0
4,9,truth,c0
4,10,truth,c0
4,11,truth,c0
4,12,truth,c0
4,13,truth,c0
4,14,truth,c0
4,15,truth,c0
4,16,truth,c0
4,17,truth,c0
4,18,truth,c0
4,19,truth,c0
4,20,truth,c0
4,21,truth,c0
4,22,truth,c1
4,23,truth,c1
4,24,truth,c1
4,25,truth,c1
4,26,truth,c1
4,27,truth,c1
4,28,truth,c1
4,29,truth,c0
4,30,truth,c0
4,31,truth,c2
4,32,truth,c2
4,33,truth,c2
4,34,truth,c2
4,35,truth,c2
4,36,truth,c2
4,37,truth,c2
4,38,truth,c1
4,39,truth,c1
4,40,truth,c1
4,41,truth,c1
4,42,truth,c1
4,43,truth,c1
4,44,truth,c1
4,45,truth,c1
4,46,truth,c1
4,47,truth,c1
4,48,truth,c0
4,49,truth,c0
4,50,truth,c0
4,51,truth,c0
4,52,truth,c0
4,53,truth,c0
4,54,truth,c0
4,55,truth,c0
4,56,truth,c0
4,57,truth,c2
4,58,truth,c2
4,59,truth,c0
4,60,truth,c0
4,61,truth,c1
4,62,truth,c1
4,63,truth,c1
4,64,truth,c1
4,65,truth,c1
4,66,truth,c1
4,67,truth,c1
4,68,truth,c1
4,69,truth,c1
4,70,truth,c1
4,71,truth,c1
4,72,truth,c1
4,73,truth,c1
4,74,truth,c1
4,75,truth,c1
4,76,truth,c1
4,77,truth,c1
4,78,truth,c1
4,79,truth,c1
4,80,truth,c1
4,81,truth,c1
4,82,truth,c1
4,83,truth,c1
4,84,truth,c0
4,85,truth,c0
4,86,truth,c0
4,87,truth,c0
4,88,truth,c0
4,89,truth,c0
4,90,truth,c0
4,91,truth,c0
4,92,truth,c0
4,93,truth,c0
4,94,truth,c0
4,95,truth,c0
5,0,truth,c0
5,1,truth,c0
5,2,truth,c0
5,3,truth,c0
5,4,truth,c0
5,5,truth,c0
5,6,truth,c0
5,7,truth,c0
5,8,truth,c0
5,9,truth,c0
5,10,truth,c0
5,11,truth,c0
5,12,truth,c0
5,13,truth,c0
5,14,truth,c0
5,15,truth,c0
5,16,truth,c0
5,17,truth,c0
5,18,truth,c0
5,19,truth,c0
5,20,truth,c0
5,21,truth,c0
5,22,truth,c0
5,23,truth,c0
5,24,truth,c1
5,25,truth,c1
5,26,truth,c0
5,27,truth,c0
5,28,truth,c0
5,29,truth,c0
5,30,truth,c0
5,31,truth,c0
5,32,truth,c0
5,33,truth,c2
5,34,truth,c2
5,35,truth,c2
5,36,truth,c2
5,37,truth,c1
5,38,truth,c1
5,39,truth,c1
5,40,truth,c1
5,41,truth,c1
5,42,truth,c1
5,43,truth,c1
5,44,truth,c1
5,45,truth,c1
5,46,truth,c1
5,47,truth,c1
5,48,truth,c1
5,49,truth,c0
5,50,truth,c0
5,51,truth,c0
5,52,truth,c0
5,53,truth,c0
5,54,truth,c2
5,55,truth,c2
5,56,truth,c2
5,57,truth,c2
5,58,truth,c2
5,59,truth,c2
5,60,truth,c2
5,61,truth,c1
5,62,truth,c1
5,63,truth,c1
5,64,truth,c1
5,65,truth,c1
5,66,truth,c1
5,67,truth,c1
5,68,truth,c1
5,69,truth,c1
5,70,truth,c1
5,71,truth,c1
5,72,truth,c1
5,73,truth,c1
5,74,truth,c1
5,75,truth,c1
5,76,truth,c1
5,77,truth,c1
5,78,truth,c1
5,79,truth,c1
5,80,truth,c1
5,81,truth,c1
5,82,truth,c1
5,83,truth,c1
5,84,truth,c1
5,85,truth,c0
5,86,truth,c0
5,87,truth,c0
5,88,truth,c0
5,89,truth,c0
5,90,truth,c0
5,91,truth,c0
5,92,truth,c0
5,93,truth,c0
5,94,truth,c0
5,95,truth,c0
6,0,truth,c0
6,1,truth,c0
6,2,truth,c0
6,3,truth,c0
6,4,truth,c0
6,5,truth,c0
6,6,truth,c0
6,7,truth,c0
6,8,truth,c0
6,9,truth,c0
6,10,truth,c0
6,11,truth,c0
6,12,truth,c0
6,13,truth,c0
6,14,truth,c0
6,15,truth,c0
6,16,truth,c0
6,17,truth,c0
6,18,truth,c0
6,19,truth,c0
6,20,truth,c0
6,21,truth,c0
6,22,truth,c0
6,23,truth,c0
6,24,truth,c0
6,25,truth,c0
6,26,truth,c0
6,27,truth,c0
6,28,truth,c0
6,29,truth,c0
6,30,truth,c0
6,31,truth,c0
6,32,truth,c0
6,33,truth,c2
6,34,truth,c2
6,35,truth,c2
6,36,truth,c2
6,37,truth,c1
6,38,truth,c1
6,39,truth,c1
6,40,truth,c1
6,41,truth,c1
6,42,truth,c1
6,43,truth,c1
6,44,truth,c1
6,45,truth,c1
6,46,truth,c1
6,47,truth,c1
6,48,truth,c1
6,49,truth,c1
6,50,truth,c0
6,51,truth,c0
6,52,truth,c2
6,53,truth,c2
6,54,truth,c2
6,55,truth,c2
6,56,truth,c2
6,57,truth,c2
6,58,truth,c2
6,59,truth,c2
6,60,truth,c2
6,61,truth,c2
6,62,truth,c1
6,63,truth,c1
6,64,truth,c1
6,65,truth,c1
6,66,truth,c1
6,67,truth,c1
6,68,truth,c1
6,69,truth,c1
6,70,truth,c1
6,71,truth,c1
6,72,truth,c1
6,73,truth,c1
6,74,truth,c1
6,75,truth,c1
6,76,truth,c1
6,77,truth,c1
6,78,truth,c1
6,79,truth,c1
6,80,truth,c1
6,81,truth,c1
6,82,truth,c1
6,83,truth,c1
6,84,truth,c1
6,85,truth,c0
6,86,truth,c0
6,87,truth,c0
6,88,truth,c0
6,89,truth,c0
6,90,truth,c0
6,91,truth,c0
6,92,truth,c0
6,93,truth,c0
6,94,truth,c0
6,95,truth,c0
7,0,truth,c0
7,1,truth,c0
7,2,truth,c0
7,3,truth,c0
7,4,truth,c0
7,5,truth,c0
7,6,truth,c0
7,7,truth,c0
7,8,truth,c0
7,9,truth,c0
7,10,truth,c0
7,11,truth,c0
7,12,truth,c0
7,13,truth,c0
7,14,truth,c0
7,15,truth,c0
7,16,truth,c0
7,17,truth,c0
7,18,truth,c0
7,19,truth,c0
7,20,truth,c0
7,21,truth,c0
7,22,truth,c0
7,23,truth,c0
7,24,truth,c0
7,25,truth,c0
7,26,truth,c0
7,27,truth,c0
7,28,truth,c0
7,29,truth,c0
7,30,truth,c0
7,31,truth,c0
7,32,truth,c0
7,33,truth,c2
7,34,truth,c2
7,35,truth,c2
7,36,truth,c2
7,37,truth,c1
7,38,truth,c1
7,39,truth,c1
7,40,truth,c1
7,41,truth,c1
7,42,truth,c1
7,43,truth,c1
7,44,truth,c1
7,45,truth,c1
7,46,truth,c1
7,47,truth,c1
7,48,truth,c1
7,49,truth,c1
7,50,truth,c1
7,51,truth,c2
7,52,truth,c2
7,53,truth,c2
7,54,truth,c2
7,55,truth,c2
7,56,truth,c2
7,57,truth,c2
7,58,truth,c2
7,59,truth,c2
7,60,truth,c2
7,61,truth,c2
7,62,truth,c1
7,63,truth,c1
7,64,truth,c1
7,65,truth,c1
7,66,truth,c1
7,67,truth,c1
7,68,truth,c1
7,69,truth,c1
7,70,truth,c1
7,71,truth,c1
7,72,truth,c1
7,73,truth,c1
7,74,truth,c1
7,75,truth,c1
7,76,truth,c1
7,77,truth,c1
7,78,truth,c1
7,79,truth,c1
7,80,truth,c1
7,81,truth,c1
7,82,truth,c1
7,83,truth,c1
7,84,truth,c1
7,85,truth,c0
7,86,truth,c0
7,87,truth,c0
7,88,truth,c0
7,89,truth,c0
7,90,truth,c0
7,91,truth,c0
7,92,truth,c0
7,93,truth,c0
7,94,truth,c0
7,95,truth,c0
8,0,truth,c0
8,1,truth,c0
8,2,truth,c0
8,3,truth,c0
8,4,truth,c0
8,5,truth,c0
8,6,truth,c0
8,7,truth,c0
8,8,truth,c0
8,9,truth,c0
8,10,truth,c0
8,11,truth,c0
8,12,truth,c0
8,13,truth,c0
8,14,truth,c0
8,15,truth,c0
8,16,truth,c0
8,17,truth,c0
8,18,truth,c0
8,19,truth,c0
8,20,truth,c0
8,21,truth,c0
8,22,truth,c0
8,23,truth,c0
8,24,truth,c0
8,25,truth,c0
8,26,truth,c0
8,27,truth,c0
8,28,truth,c0
8,29,truth,c0
8,30,truth,c0
8,31,truth,c0
8,32,truth,c0
8,33,truth,c2
8,34,truth,c2
8,35,truth,c2
8,36,truth,c2
8,37,truth,c1
8,38,truth,c1
8,39,truth,c1
8,40,truth,c1
8,41,truth,c1
8,42,truth,c1
8,43,truth,c1
8,44,truth,c1
8,45,truth,c1
8,46,truth,c1
8,47,truth,c1
8,48,truth,c1
8,49,truth,c1
8,50,truth,c1
8,51,truth,c2
8,52,truth,c2
8,53,truth,c2
8,54,truth,c2
8,55,truth,c2
8,56,truth,c2
8,57,truth,c2
8,58,truth,c2
8,59,truth,c2
8,60,truth,c2
8,61,truth,c2
8,62,truth,c2
8,63,truth,c1
8,64,truth,c1
8,65,truth,c1
8,66,truth,c1
8,67,truth,c1
8,68,truth,c1
8,69,truth,c1
8,70,truth,c1
8,71,truth,c1
8,72,truth,c1
8,73,truth,c1
8,74,truth,c1
8,75,truth,c1
8,76,truth,c1
8,77,truth,c1
8,78,truth,c1
8,79,truth,c1
8,80,truth,c1
8,81,truth,c1
8,82,truth,c1
8,83,truth,c1
8,84,truth,c1
8,85,truth,c1
8,86,truth,c0
8,87,truth,c0
8,88,truth,c0
8,89,truth,c0
8,90,truth,c0
8,91,truth,c0
8,92,truth,c0
8,93,truth,c0
8,94,truth,c0
8,95,truth,c0
9,0,truth,c0
9,1,truth,c0
9,2,truth,c0
9,3,truth,c0
9,4,truth,c0
9,5,truth,c0
9,6,truth,c0
9,7,truth,c0
9,8,truth,c0
9,9,truth,c0
9,10,truth,c0
9,11,truth,c0
9,12,truth,c0
9,13,truth,c0
9,14,truth,c0
9,15,truth,c0
9,16,truth,c0
9,17,truth,c0
9,18,truth,c0
9,19,truth,c0
9,20,truth,c0
9,21,truth,c0
9,22,truth,c0
9,23,truth,c0
9,24,truth,c0
9,25,truth,c0
9,26,truth,c0
9,27,truth,c0
9,28,truth,c0
9,29,truth,c0
9,30,truth,c0
9,31,truth,c0
9,32,truth,c2
9,33,truth,c2
9,34,truth,c2
