window,dom_class,method,k_hat
24,crop,ess_dip_local,1
18,crop,classical_gap,4
18,crop,silhouette,2
18,crop,calinski_harabasz,2
18,crop,davies_bouldin,2
18,crop,decluster_dip,1
18,crop,ess_dip,1
18,crop,ess_dip_detrend,1
18,crop,ess_dip_adaptive,1
18,crop,ess_dip_local,1
14,crop,classical_gap,5
14,crop,silhouette,2
14,crop,calinski_harabasz,2
14,crop,davies_bouldin,2
14,crop,decluster_dip,2
14,crop,ess_dip,1
14,crop,ess_dip_detrend,1
14,crop,ess_dip_adaptive,1
14,crop,ess_dip_local,1
21,crop,classical_gap,6
21,crop,silhouette,2
21,crop,calinski_harabasz,2
21,crop,davies_bouldin,2
21,crop,decluster_dip,1
21,crop,ess_dip,1
21,crop,ess_dip_detrend,1
21,crop,ess_dip_adaptive,1
21,crop,ess_dip_local,1
22,crop,classical_gap,8
22,crop,silhouette,2
22,crop,calinski_harabasz,2
22,crop,davies_bouldin,2
22,crop,decluster_dip,1
22,crop,ess_dip,1
22,crop,ess_dip_detrend,1
22,crop,ess_dip_adaptive,1
22,crop,ess_dip_local,1
26,crop,classical_gap,8
26,crop,silhouette,2
26,crop,calinski_harabasz,3
26,crop,davies_bouldin,3
26,crop,decluster_dip,1
26,crop,ess_dip,1
26,crop,ess_dip_detrend,1
26,crop,ess_dip_adaptive,1
26,crop,ess_dip_local,1
27,crop,classical_gap,8
27,crop,silhouette,2
27,crop,calinski_harabasz,3
27,crop,davies_bouldin,3
27,crop,decluster_dip,1
27,crop,ess_dip,1
27,crop,ess_dip_detrend,1
27,crop,ess_dip_adaptive,1
27,crop,ess_dip_local,1
30,crop,classical_gap,8
30,crop,silhouette,2
30,crop,calinski_harabasz,4
30,crop,davies_bouldin,4
30,crop,decluster_dip,1
30,crop,ess_dip,1
30,crop,ess_dip_detrend,1
30,crop,ess_dip_adaptive,1
30,crop,ess_dip_local,1
29,crop,classical_gap,8
29,crop,silhouette,2
29,crop,calinski_harabasz,2
29,crop,davies_bouldin,3
29,crop,decluster_dip,1
29,crop,ess_dip,1
29,crop,ess_dip_detrend,1
29,crop,ess_dip_adaptive,1
29,crop,ess_dip_local,1
25,crop,classical_gap,7
25,crop,silhouette,4
25,crop,calinski_harabasz,4
25,crop,davies_bouldin,5
25,crop,decluster_dip,1
25,crop,ess_dip,1
25,crop,ess_dip_detrend,1
25,crop,ess_dip_adaptive,1
25,crop,ess_dip_local,1
28,crop,classical_gap,6
28,crop,silhouette,2
28,crop,calinski_harabasz,2
28,crop,davies_bouldin,2
28,crop,decluster_dip,1
28,crop,ess_dip,1
28,crop,ess_dip_detrend,1
28,crop,ess_dip_adaptive,1
28,crop,ess_dip_local,1
32,crop,classical_gap,7
32,crop,silhouette,2
32,crop,calinski_harabasz,3
32,crop,davies_bouldin,3
32,crop,decluster_dip,1
32,crop,ess_dip,1
32,crop,ess_dip_detrend,1
32,crop,ess_dip_adaptive,1
32,crop,ess_dip_local,1
39,crop,classical_gap,6
39,crop,silhouette,2
39,crop,calinski_harabasz,2
39,crop,davies_bouldin,2
39,crop,decluster_dip,1
39,crop,ess_dip,1
39,crop,ess_dip_detrend,1
39,crop,ess_dip_adaptive,1
39,crop,ess_dip_local,1
33,crop,classical_gap,7
33,crop,silhouette,3
33,crop,calinski_harabasz,4
33,crop,davies_bouldin,3
33,crop,decluster_dip,1
33,crop,ess_dip,1
33,crop,ess_dip_detrend,1
33,crop,ess_dip_adaptive,1
33,crop,ess_dip_local,1
34,crop,classical_gap,5
34,crop,silhouette,2
34,crop,calinski_harabasz,2
34,crop,davies_bouldin,2
34,crop,decluster_dip,1
34,crop,ess_dip,1
34,crop,ess_dip_detrend,1
34,crop,ess_dip_adaptive,1
34,crop,ess_dip_local,1
38,crop,classical_gap,5
38,crop,silhouette,2
38,crop,calinski_harabasz,5
38,crop,davies_bouldin,2
38,crop,decluster_dip,1
38,crop,ess_dip,1
38,crop,ess_dip_detrend,1
38,crop,ess_dip_adaptive,1
38,crop,ess_dip_local,1
31,crop,classical_gap,8
31,crop,silhouette,2
31,crop,calinski_harabasz,2
31,crop,davies_bouldin,2
31,crop,decluster_dip,1
31,crop,ess_dip,1
31,crop,ess_dip_detrend,1
31,crop,ess_dip_adaptive,1
31,crop,ess_dip_local,1
35,crop,classical_gap,8
35,crop,silhouette,2
35,crop,calinski_harabasz,2
35,crop,davies_bouldin,2
35,crop,decluster_dip,1
35,crop,ess_dip,1
35,crop,ess_dip_detrend,1
35,crop,ess_dip_adaptive,1
35,crop,ess_dip_local,1
37,crop,classical_gap,7
37,crop,silhouette,4
37,crop,calinski_harabasz,4
37,crop,davies_bouldin,4
37,crop,decluster_dip,1
37,crop,ess_dip,1
37,crop,ess_dip_detrend,1
37,crop,ess_dip_adaptive,1
37,crop,ess_dip_local,1
42,crop,classical_gap,4
42,crop,silhouette,2
42,crop,calinski_harabasz,2
42,crop,davies_bouldin,2
42,crop,decluster_dip,2
42,crop,ess_dip,1
42,crop,ess_dip_detrend,1
42,crop,ess_dip_adaptive,1
42,crop,ess_dip_local,1
36,crop,classical_gap,8
36,crop,silhouette,3
36,crop,calinski_harabasz,3
36,crop,davies_bouldin,3
36,crop,decluster_dip,2
36,crop,ess_dip,1
36,crop,ess_dip_detrend,1
36,crop,ess_dip_adaptive,1
36,crop,ess_dip_local,1
43,crop,classical_gap,8
43,crop,silhouette,4
43,crop,calinski_harabasz,4
43,crop,davies_bouldin,4
43,crop,decluster_dip,1
43,crop,ess_dip,1
43,crop,ess_dip_detrend,1
43,crop,ess_dip_adaptive,1
43,crop,ess_dip_local,1
44,crop,classical_gap,8
44,crop,silhouette,2
44,crop,calinski_harabasz,3
44,crop,davies_bouldin,2
44,crop,decluster_dip,1
44,crop,ess_dip,1
44,crop,ess_dip_detrend,1
44,crop,ess_dip_adaptive,1
44,crop,ess_dip_local,1
41,crop,classical_gap,6
41,crop,silhouette,3
41,crop,calinski_harabasz,3
41,crop,davies_bouldin,2
41,crop,decluster_dip,1
41,crop,ess_dip,1
41,crop,ess_dip_detrend,1
41,crop,ess_dip_adaptive,1
41,crop,ess_dip_local,1
40,crop,classical_gap,8
40,crop,silhouette,2
40,crop,calinski_harabasz,4
40,crop,davies_bouldin,2
40,crop,decluster_dip,1
40,crop,ess_dip,1
40,crop,ess_dip_detrend,1
40,crop,ess_dip_adaptive,1
40,crop,ess_dip_local,1
46,crop,classical_gap,4
46,crop,silhouette,2
46,crop,calinski_harabasz,4
46,crop,davies_bouldin,2
46,crop,decluster_dip,1
46,crop,ess_dip,1
46,crop,ess_dip_detrend,1
46,crop,ess_dip_adaptive,1
46,crop,ess_dip_local,1
48,crop,classical_gap,7
48,crop,silhouette,2
48,crop,calinski_harabasz,2
48,crop,davies_bouldin,2
48,crop,decluster_dip,1
48,crop,ess_dip,1
48,crop,ess_dip_detrend,1
48,crop,ess_dip_adaptive,1
48,crop,ess_dip_local,1
45,crop,classical_gap,8
45,crop,silhouette,2
45,crop,calinski_harabasz,3
45,crop,davies_bouldin,2
45,crop,decluster_dip,2
45,crop,ess_dip,1
45,crop,ess_dip_detrend,1
45,crop,ess_dip_adaptive,1
45,crop,ess_dip_local,1
49,crop,classical_gap,8
49,crop,silhouette,3
49,crop,calinski_harabasz,2
49,crop,davies_bouldin,2
49,crop,decluster_dip,1
49,crop,ess_dip,1
49,crop,ess_dip_detrend,1
49,crop,ess_dip_adaptive,1
49,crop,ess_dip_local,1
47,crop,classical_gap,7
47,crop,silhouette,3
47,crop,calinski_harabasz,5
47,crop,davies_bouldin,3
47,crop,decluster_dip,1
47,crop,ess_dip,1
47,crop,ess_dip_detrend,1
47,crop,ess_dip_adaptive,1
47,crop,ess_dip_local,1
56,crop,classical_gap,6
56,crop,silhouette,2
56,crop,calinski_harabasz,3
56,crop,davies_bouldin,3
56,crop,decluster_dip,1
56,crop,ess_dip,1
56,crop,ess_dip_detrend,1
56,crop,ess_dip_adaptive,1
56,crop,ess_dip_local,1
54,crop,classical_gap,8
54,crop,silhouette,2
54,crop,calinski_harabasz,2
54,crop,davies_bouldin,2
54,crop,decluster_dip,1
54,crop,ess_dip,1
54,crop,ess_dip_detrend,1
54,crop,ess_dip_adaptive,1
54,crop,ess_dip_local,1
52,crop,classical_gap,8
52,crop,silhouette,2
52,crop,calinski_harabasz,3
52,crop,davies_bouldin,2
52,crop,decluster_dip,1
52,crop,ess_dip,1
52,crop,ess_dip_detrend,1
52,crop,ess_dip_adaptive,1
52,crop,ess_dip_local,1
51,crop,classical_gap,6
51,crop,silhouette,2
51,crop,calinski_harabasz,4
51,crop,davies_bouldin,2
51,crop,decluster_dip,1
51,crop,ess_dip,1
51,crop,ess_dip_detrend,1
51,crop,ess_dip_adaptive,1
51,crop,ess_dip_local,1
50,crop,classical_gap,5
50,crop,silhouette,3
50,crop,calinski_harabasz,5
50,crop,davies_bouldin,3
50,crop,decluster_dip,1
50,crop,ess_dip,1
50,crop,ess_dip_detrend,1
50,crop,ess_dip_adaptive,1
50,crop,ess_dip_local,1
53,crop,classical_gap,8
53,crop,silhouette,2
53,crop,calinski_harabasz,2
53,crop,davies_bouldin,2
53,crop,decluster_dip,2
53,crop,ess_dip,1
53,crop,ess_dip_detrend,1
53,crop,ess_dip_adaptive,1
53,crop,ess_dip_local,1
55,crop,classical_gap,8
55,crop,silhouette,2
55,crop,calinski_harabasz,4
55,crop,davies_bouldin,2
55,crop,decluster_dip,1
55,crop,ess_dip,1
55,crop,ess_dip_detrend,1
55,crop,ess_dip_adaptive,1
55,crop,ess_dip_local,1
58,crop,classical_gap,8
58,crop,silhouette,2
58,crop,calinski_harabasz,4
58,crop,davies_bouldin,2
58,crop,decluster_dip,1
58,crop,ess_dip,1
58,crop,ess_dip_detrend,1
58,crop,ess_dip_adaptive,1
58,crop,ess_dip_local,1
57,crop,classical_gap,7
57,crop,silhouette,4
57,crop,calinski_harabasz,4
57,crop,davies_bouldin,4
57,crop,decluster_dip,1
57,crop,ess_dip,1
57,crop,ess_dip_detrend,1
57,crop,ess_dip_adaptive,1
57,crop,ess_dip_local,1
59,crop,classical_gap,8
59,crop,silhouette,2
59,crop,calinski_harabasz,7
59,crop,davies_bouldin,2
59,crop,decluster_dip,1
59,crop,ess_dip,1
59,crop,ess_dip_detrend,1
59,crop,ess_dip_adaptive,1
59,crop,ess_dip_local,1
