kind,k_true,sep,field_sigma,trend_amp,noise_sigma,cell_idx,realiz,truth_k,method,k_hat
null,,,6.0,,,1,14,1,davies_bouldin,8
null,,,6.0,,,1,14,1,decluster_dip,1
null,,,6.0,,,1,14,1,ess_dip,1
null,,,6.0,,,1,14,1,ess_dip_detrend,1
null,,,6.0,,,1,14,1,ess_dip_adaptive,1
null,,,6.0,,,1,14,1,ess_dip_local,1
null,,,6.0,,,1,1,1,classical_gap,1
null,,,6.0,,,1,1,1,silhouette,2
null,,,6.0,,,1,1,1,calinski_harabasz,2
null,,,6.0,,,1,1,1,davies_bouldin,8
null,,,6.0,,,1,1,1,decluster_dip,1
null,,,6.0,,,1,1,1,ess_dip,1
null,,,6.0,,,1,1,1,ess_dip_detrend,1
null,,,6.0,,,1,1,1,ess_dip_adaptive,1
null,,,6.0,,,1,1,1,ess_dip_local,1
null,,,9.0,,,2,1,1,classical_gap,5
null,,,9.0,,,2,1,1,silhouette,2
null,,,9.0,,,2,1,1,calinski_harabasz,2
null,,,9.0,,,2,1,1,davies_bouldin,7
null,,,9.0,,,2,1,1,decluster_dip,1
null,,,9.0,,,2,1,1,ess_dip,1
null,,,9.0,,,2,1,1,ess_dip_detrend,1
null,,,9.0,,,2,1,1,ess_dip_adaptive,1
null,,,9.0,,,2,1,1,ess_dip_local,1
null,,,6.0,,,1,11,1,classical_gap,3
null,,,6.0,,,1,11,1,silhouette,7
null,,,6.0,,,1,11,1,calinski_harabasz,2
null,,,6.0,,,1,11,1,davies_bouldin,8
null,,,6.0,,,1,11,1,decluster_dip,1
null,,,6.0,,,1,11,1,ess_dip,1
null,,,6.0,,,1,11,1,ess_dip_detrend,1
null,,,6.0,,,1,11,1,ess_dip_adaptive,1
null,,,6.0,,,1,11,1,ess_dip_local,1
null,,,9.0,,,2,2,1,classical_gap,4
null,,,9.0,,,2,2,1,silhouette,4
null,,,9.0,,,2,2,1,calinski_harabasz,3
null,,,9.0,,,2,2,1,davies_bouldin,8
null,,,9.0,,,2,2,1,decluster_dip,1
