kind,truth_k,method,k_hat
struct,3,SGS-Dip,4
struct,3,SGS-Dip,3
struct,3,SGS-Dip,5
struct,3,SGS-Dip,3
struct,3,SGS-Dip,5
struct,3,SGS-Dip,3
struct,3,SGS-Dip,4
struct,3,SGS-Dip,3
struct,3,SGS-Dip,5
struct,3,SGS-Dip,5
struct,3,SGS-Dip,5
struct,3,SGS-Dip,3
struct,3,SGS-Dip,3
struct,3,SGS-Dip,4
struct,3,SGS-Dip,3
struct,3,SGS-Dip,3
struct,3,SGS-Dip,3
struct,3,SGS-Dip,3
struct,3,SGS-Dip,3
struct,3,SGS-Dip,3
struct,3,SGS-Dip,3
struct,3,SGS-Dip,3
struct,3,SGS-Dip,4
struct,3,SGS-Dip,3
struct,3,SGS-Dip,3
struct,3,SGS-Dip,3
struct,3,SGS-Dip,5
struct,3,SGS-Dip,4
struct,3,SGS-Dip,4
struct,3,SGS-Dip,3
struct,3,SGS-Dip,5
struct,3,SGS-Dip,3
struct,3,SGS-Dip,4
struct,3,SGS-Dip,4
struct,3,SGS-Dip,3
struct,3,SGS-Dip,7
struct,3,SGS-Dip,5
struct,4,SGS-Dip,4
struct,4,SGS-Dip,5
struct,3,SGS-Dip,6
struct,4,SGS-Dip,5
struct,4,SGS-Dip,5
struct,3,SGS-Dip,5
struct,3,SGS-Dip,8
struct,4,SGS-Dip,4
struct,4,SGS-Dip,5
struct,4,SGS-Dip,5
struct,4,SGS-Dip,5
struct,4,SGS-Dip,6
struct,4,SGS-Dip,4
struct,4,SGS-Dip,3
struct,4,SGS-Dip,5
struct,4,SGS-Dip,5
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,5
struct,4,SGS-Dip,6
struct,4,SGS-Dip,8
struct,4,SGS-Dip,4
struct,4,SGS-Dip,5
struct,4,SGS-Dip,6
struct,4,SGS-Dip,5
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,6
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,5
struct,4,SGS-Dip,5
struct,4,SGS-Dip,6
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,5
struct,4,SGS-Dip,4
struct,4,SGS-Dip,6
struct,4,SGS-Dip,5
struct,4,SGS-Dip,4
struct,4,SGS-Dip,7
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,6
struct,4,SGS-Dip,5
struct,4,SGS-Dip,4
struct,4,SGS-Dip,6
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,6
struct,4,SGS-Dip,6
struct,4,SGS-Dip,4
struct,4,SGS-Dip,5
struct,4,SGS-Dip,8
struct,4,SGS-Dip,8
struct,4,SGS-Dip,5
struct,4,SGS-Dip,4
struct,4,SGS-Dip,5
struct,4,SGS-Dip,5
struct,4,SGS-Dip,5
struct,4,SGS-Dip,5
struct,4,SGS-Dip,6
struct,4,SGS-Dip,4
struct,4,SGS-Dip,7
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,5
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,5
struct,4,SGS-Dip,5
struct,4,SGS-Dip,5
struct,4,SGS-Dip,4
struct,4,SGS-Dip,7
struct,4,SGS-Dip,8
struct,4,SGS-Dip,8
struct,4,SGS-Dip,6
struct,4,SGS-Dip,5
struct,4,SGS-Dip,6
struct,4,SGS-Dip,5
struct,4,SGS-Dip,7
struct,4,SGS-Dip,4
struct,4,SGS-Dip,5
struct,4,SGS-Dip,4
struct,4,SGS-Dip,4
struct,4,SGS-Dip,6
struct,4,SGS-Dip,5
